PK,created_at,express_question
express#83625e1d-2dc2-4305-a928-546af5a71f7c,1704436420,What bothers you the most lately?
express#98af0828-3888-4ed6-9bfc-9514cfd37a86,1704437479,Is it okay for couples to check each other's phones? Why?
express#b5dcbf99-4fa1-4764-a977-dc68605e5a2f,1704437519,"Which is more important, friendship or love? Why? "
express#e4c199dd-34ea-4892-ba96-342ac5e0346d,1704437544,How should you handle feelings for someone else who makes your heart flutter while you're in a relationship?
express#c8d3e6d3-259b-47ce-85f7-c084b08fb35a,1704437597,Why do some people choose to take a gap year?
express#50628769-90ea-443d-90ab-bd14f15bc468,1704437634,Why do some people choose to major in liberal arts? Aren't they worried about finding a job?
express#ead4374e-db32-4f72-b027-b7e82606c0f4,1704437664,"How to choose between a job that is interesting but pays less, and one that pays well but is less interesting?"
express#ca97f5aa-e27f-44f6-a0e0-f6a06a3b831e,1704437731,Three things on your bucket list.
express#49dc3256-f035-4513-8647-a9fabb706b5a,1704437761,Your earliest memory.
express#c53c99b4-4685-4516-bc47-1df122f1f6d9,1704437790,The craziest thing you've done so far.
express#188ed544-16b1-4574-b5ae-4800f67a2a69,1704437910,What's your dream hobby and what's the funniest reason you haven't started yet?
express#02ac31e9-4274-47b3-9241-9200094a55ab,1706670947,"How long into a relationship, or at what point, do you feel ready for sex?"
express#3d0bf1b4-02cd-4c9b-bbe3-d0a08b3f42fa,1706677662,How can you break free from an unhappy family of origin?
express#2b171897-f748-4bf5-bd9b-5d7d86f012cd,1706677700,Describe your ideal wedding.
express#2ce4f1ca-0848-4183-9d1c-b0d6ed4f5d09,1706677748,"If your love story were a movie, which genre would it be and why?"
express#d661ac9a-8731-42b1-b15c-e415ebaa778b,1706677812,What's the craziest adventure you'd like to go on with your partner?
express#3c04e4f9-7be8-456d-9e9e-cad3adf827c6,1706677907,What superpower would you choose to make your relationship epic?
express#3a2540aa-4e3f-4c3a-a9d9-ac825f94f6ff,1706678045,What's the ultimate food hack for surviving on a college budget?
express#6aa6e24f-775e-48c5-b382-6916ef11f429,1706678112,"if you could create a new college course, what would it be about?"
express#99861b5c-fed5-4773-9e4c-77b0a9bec725,1706678226,What's your hack for a budget-friendly yet epic Christmas gift exchange among college friends?
express#a9ff7d9e-7ab1-40ec-9b0e-4ddff2c77e7c,1706678284,Your biggest achievement so far.
express#467c4652-1d6a-4a21-a561-48b4aad6994b,1706678364,Any secrets that you only dare to say anonymously?
express#ac26e935-2fe8-4e70-a970-4ba6de8cd637,1706678401,The weirdest food combination you actually love?
express#ad4b4b22-f057-488e-a435-6d6407e54c30,1706678432,"What's the most hilarious fashion trend you've ever followed, and your photo evidence?"
express#e054dd3c-19b7-4458-9ed1-39afcdc55d0f,1706679283,What's one adventure you must experience before turning 30?
express#6c904e37-e578-4cdd-99c6-6d26c3d5329d,1706679375,"If money was not a concern, what profession would you want to pursue?"
express#3bf8af14-4ef2-4c66-95ff-37c605f279bd,1706679629,"Which band, past or present, would you rock out with for a day and what instrument would you play?"
express#53bd12ae-4b81-4f6f-8963-64683a18a970,1706679668,"If you could time-travel for a day, which era would you choose and why?"
express#d7625eef-a4a2-47c6-95d8-711efae5c1c3,1706679767,"Invent a sport! What's the name, rules, and how do we play your game?"
express#5ce9867a-8501-49c2-8aff-838cdd775498,1706679799,What's your most epic gaming moment or achievement?
express#ae3dd52a-152b-49bc-adc8-de67864c80c9,1706679839,"If you could live in any game universe for a week, which would you choose?"
express#e8ab5690-2609-4861-ae93-be41b337b8c7,1706679982,What's your dream podcast theme and ultimate guest star?
express#ae378854-7e24-4489-9da2-2753fd0e1c36,1706762142,Which three emojis best capture your personality?
express#3772979a-1a05-4ebe-9ee8-0643ac9dfe54,1706798836,Share a song you believe is underrated and explain why it deserves more attention.
express#e1c43de7-36b3-444a-a37a-8c7ef41d0a35,1706799322,Create the lineup for your dream music festival. Which artists or bands would perform
express#06c2fe83-d200-4637-a274-d1018e18d488,1706802044,What questions do you think would be interesting to see on Wander?
express#977a505a-cdba-48ec-b4d9-e8a212b90e19,1707838874,"How do you approach the topic of exclusivity in dating? Is it something you discuss openly, and at what stage?"
express#d887c3e8-fda5-42e6-a2b2-05967639fd3f,1707838962,Tell us your biggest hobby without naming it directly
express#a73f1dff-ba4e-49ab-8af5-860161440405,1707839154,What are some books you are reading recently
express#4b951033-b2e1-4bb3-89ff-5d75af01c365,1707839205,What do you want to chat about with a stranger you met on Wander?
express#d3527b39-fe42-4080-a15e-b4041e5304bb,1707848430,What's your stance on dating multiple people at once vs. focusing on one person at a time?
express#5712a72a-11d0-4229-ba14-86fa8d7d0df0,1707849133,How do you feel about planning dates vs. being surprised? What's the ideal balance for you?
express#d6c11e21-dc83-46da-b373-5de697a4db1e,1707849192,"In dating, do you prefer deep conversations from the start, or keep things light and discover depth over time?"
express#fa639ff4-19ac-406c-87fe-3777230e36e4,1707849274,What importance do you place on physical attraction vs. emotional connection in the early stages of dating?
express#b4c04536-5f99-4a16-becf-3ed3d0163152,1707849366,"How would you describe your family dynamic growing up, and how has it shaped who you are today?"
express#39884e4a-e5b4-4a55-901f-9c47865e7d34,1707849406,Can you share a tradition from your family that means a lot to you?
express#09eac588-d93a-480a-8823-639f9b5f1ad5,1707849491,"If there's one thing you could change about your childhood, what would it be and why?"
express#f172b692-f6ec-488f-9f7d-b003217cca60,1707849595,How has your perspective on the world changed in the last five years?
express#dd7d01d0-4648-4190-809c-b8ad9ebc35d4,1707849629,"What's the next hobby or skill you'd like to learn, and what attracts you to it?"
express#ce8cf9e5-71cd-4c2c-acda-9373c6afa2e2,1707849669,"If you could start a viral social movement, what would it be about?"
express#b7757385-6829-4a75-809c-ab444e746495,1707849750,"How do you define financial success, and what steps are you taking to achieve it?"
express#0bb431e4-79aa-44ec-8925-07f5a37e0462,1707849788,"If you received a substantial windfall (e.g., lottery win), what would you do with it?"
express#1bea89e3-2d34-467b-9fd2-19a30743070b,1707849832,How do you balance spending on yourself versus saving for the future?
express#1c20abd4-4495-4797-a83d-91427305e6ae,1707849871,What role does money play in your personal happiness and life satisfaction?
express#295e3ffd-4c13-43ae-ab04-8acb10bf9c62,1707849909,"In a relationship, how do you view the management of finances between partners?"
express#ebd34a40-e93c-4a40-8b3d-7bbdfc6c3d56,1707849993,How should we pay for dates? Split? Take turns? Guys pay?
express#b949efc8-fe3c-443e-a12f-5db3badd37e6,1707850035,How much should we expect to spend on dates?
express#95a7ab59-96e3-429d-8b0e-e789251812fd,1707850070,"What's important for you when it comes to spending on experiences like dining out, concerts, or movies?"
express#b2a505de-ffd6-4149-9559-ad29e6c68916,1707850175,What color dominates your wardrobe?
express#2f4ef4cd-d049-41cf-b053-a35d80e2f590,1707850200,What’s one word you’d use to describe your ideal weekend?
express#75eead65-d058-4bc3-92e7-b721cf245e74,1707850236,One habit you’re proud of?
express#767ff032-909c-4dc2-9ca4-85bda8eef926,1707850297,What was the most courageous thing you did? How did it go?
express#fa6da57b-7644-49eb-9da8-08c9615d1cd6,1707850342,What do you know that others don't!
express#7856e399-f258-4468-b859-9a2dcac83948,1707850449,What are some movies you have watched more than 3 times?
express#0d243a04-c363-4cd6-8f5b-249e66b08086,1707850485,Describe your ideal day from morning to night.
express#f8925ec6-d420-4c7c-ab46-968e8f5b190b,1707850519,What's a piece of advice you frequently give but find hard to follow yourself?
express#ddd2980d-b27d-434e-afb3-d14e065c62da,1707850576,"Which fictional character do you believe is most like you, and in what ways?"
express#1219f3fa-a464-44d4-b185-e9ca9bfc9281,1707850610,"If you could only eat one food for the rest of your life, what would it be and why?"
express#abd072cb-4a52-4ce1-9d27-0a9689cf0ebd,1707850642,"What's the title of the movie about your life, and who would play you?"
express#ba8bc28a-805e-4d6c-ba89-4eaa6ae0d287,1707850678,Design your dream house: What's one unique feature it would have?
express#b2d78926-7e82-4145-b1a4-e23916cf504b,1707850747,What habit have you changed that made a significant impact on your life?
