created_at,express_pk,PK_x,creator,expression_answer,PK_y,express_question
1716350016,express#22c09ecb-a81f-408d-a7a0-b58b95c6a2d7,expression#7274737e-2e8a-4f38-b844-fde330acae94,user#user_2d92y3KHBHVJG8T8U7blPZJmH5J,I woke up confused.,express#22c09ecb-a81f-408d-a7a0-b58b95c6a2d7,Have you ever had a dream so vivid that it made you question the reality of your waking life?
1707879123,express#fb47138e-9804-4e16-bb52-b834c4a60e18,expression#5025a894-3424-4302-869a-8d1cb9619c91,user#user_2YoW9eFdjtwR4YYfpGg7f4MmLX6,Glasses and leather jacket. ,express#fb47138e-9804-4e16-bb52-b834c4a60e18,Describe your fashion sense or clothing style. Feel free to share a photo!
1708275795,express#fb47138e-9804-4e16-bb52-b834c4a60e18,expression#1d87df5a-1492-4f98-8947-38ef065bd25f,user#user_2bhsOcOlT8mnuPaGjt7TYB0ORgN,Plain ,express#fb47138e-9804-4e16-bb52-b834c4a60e18,Describe your fashion sense or clothing style. Feel free to share a photo!
1710598261,express#fb47138e-9804-4e16-bb52-b834c4a60e18,expression#fd054bf8-5ddb-4f45-a649-1b57a3c4b2cf,user#user_2bP2Rw0wUFI50EpT2tcthFQNCAm,"Casual, trouser, blazer",express#fb47138e-9804-4e16-bb52-b834c4a60e18,Describe your fashion sense or clothing style. Feel free to share a photo!
1710727209,express#fb47138e-9804-4e16-bb52-b834c4a60e18,expression#d920a81b-dae8-4b07-a067-b854dd96aa57,user#user_2dn4L5ZeUAzMoy0c4EZuFgs0GEH,"Nothing to follow, what I like is the most important ",express#fb47138e-9804-4e16-bb52-b834c4a60e18,Describe your fashion sense or clothing style. Feel free to share a photo!
1712945478,express#fb47138e-9804-4e16-bb52-b834c4a60e18,expression#0b9ace69-b985-437e-8502-420bae5c3ef3,user#user_2an0S7xzpwQNXgwQwLghZ2DECkF,urban,express#fb47138e-9804-4e16-bb52-b834c4a60e18,Describe your fashion sense or clothing style. Feel free to share a photo!
1716348840,express#fb47138e-9804-4e16-bb52-b834c4a60e18,expression#f65125df-b3ee-43e7-8b4c-daaab38177cc,user#user_2d92y3KHBHVJG8T8U7blPZJmH5J,High-fashion streetwear,express#fb47138e-9804-4e16-bb52-b834c4a60e18,Describe your fashion sense or clothing style. Feel free to share a photo!
1716510837,express#fb47138e-9804-4e16-bb52-b834c4a60e18,expression#1a56ef02-e9ea-4bb3-b7c9-513f3b05da08,user#user_2YkTlbTqMuKBhQApoIFkx6Fvtar,black and white,express#fb47138e-9804-4e16-bb52-b834c4a60e18,Describe your fashion sense or clothing style. Feel free to share a photo!
1713310142,express#8ab281e4-989f-4d67-bf06-c9174442823c,expression#2d1bd05c-dad5-4308-811a-3b1640b6295b,user#user_2eyc81XJUgAHcb5whsBRw0ZbWTb,"The love from my family, without it I would have fallen down a deep well of despair and would never have kept trying to climb out.",express#8ab281e4-989f-4d67-bf06-c9174442823c,What is the best gift you've ever recieved?
1716349835,express#8ab281e4-989f-4d67-bf06-c9174442823c,expression#322bd9d0-04aa-439d-8a64-5fbbe99276bf,user#user_2d92y3KHBHVJG8T8U7blPZJmH5J,Pet adoption,express#8ab281e4-989f-4d67-bf06-c9174442823c,What is the best gift you've ever recieved?
